Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Price,Mileage_Group
Kia,Rio,2020,4.2,Diesel,Manual,289944,3,5,8501,Very High Mileage
Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,2,3,12092,Low Mileage
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,4,2,11171,Very High Mileage
Audi,Q5,2023,2.0,Electric,Manual,160971,2,1,11780,High Mileage
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,3,2867,Very High Mileage
Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,4,7242,High Mileage
Honda,Civic,2010,3.4,Electric,Automatic,139584,3,1,11208,Medium Mileage
Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,2,7950,High Mileage
Kia,Sportage,2014,2.6,Hybrid,Manual,98700,3,4,9926,Medium Mileage
Toyota,RAV4,2005,3.1,Petrol,Manual,107724,2,5,6545,Medium Mileage
BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,2,3,5863,Very High Mileage
Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,4,3,11444,Low Mileage
Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,3,4,10842,Medium Mileage
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,2,1,4820,High Mileage
Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,5,2,5981,Medium Mileage
Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,2,1,9697,Low Mileage
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,5,2,14837,Low Mileage
Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,2,11576,Low Mileage
Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,3,2351,Very High Mileage
Mercedes,GLA,2021,1.5,Petrol,Manual,34640,2,1,11207,Low Mileage
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,2,1,13374,Low Mileage
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,2,8863,Low Mileage
Toyota,RAV4,2003,2.0,Electric,Manual,136662,5,4,6266,Medium Mileage
Ford,Explorer,2006,2.8,Hybrid,Manual,99921,4,2,7701,Medium Mileage
Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,3,4,12402,Low Mileage
Kia,Sportage,2011,1.8,Diesel,Automatic,92188,2,4,8856,Medium Mileage
Audi,A3,2022,3.3,Electric,Manual,79350,5,3,14413,Medium Mileage
BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,5,3,10645,Medium Mileage
BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,3,12584,High Mileage
Chevrolet,Equinox,2013,1.9,Hybrid,Automatic,121816,4,4,9963,Medium Mileage
Hyundai,Tucson,2007,3.9,Electric,Automatic,213643,4,5,9327,High Mileage
Volkswagen,Passat,2008,3.5,Electric,Manual,88381,3,1,10232,Medium Mileage
Chevrolet,Impala,2017,2.3,Petrol,Automatic,183619,5,1,9327,High Mileage
Mercedes,GLA,2013,3.3,Electric,Semi-Automatic,80184,3,5,11696,Medium Mileage
Toyota,Corolla,2010,3.2,Diesel,Automatic,132454,4,4,9150,Medium Mileage
Kia,Optima,2005,4.5,Petrol,Manual,18590,2,5,9728,Low Mileage
Audi,Q5,2013,3.5,Hybrid,Semi-Automatic,263411,4,1,7231,Very High Mileage
Kia,Sportage,2000,1.4,Electric,Manual,167050,5,4,4159,High Mileage
Ford,Fiesta,2017,2.2,Hybrid,Manual,277363,2,4,6852,Very High Mileage
Audi,A4,2004,1.0,Petrol,Manual,94415,2,1,4411,Medium Mileage
Ford,Focus,2004,1.2,Electric,Manual,93645,3,3,6627,Medium Mileage
BMW,5 Series,2007,4.9,Petrol,Manual,120491,2,1,8690,Medium Mileage
Honda,Civic,2000,3.9,Hybrid,Manual,56020,2,4,7879,Low Mileage
Toyota,RAV4,2003,3.9,Electric,Automatic,131868,5,3,9762,Medium Mileage
Audi,Q5,2023,3.6,Electric,Manual,238306,5,2,11833,Very High Mileage
Ford,Focus,2011,2.3,Diesel,Automatic,255372,5,5,6092,Very High Mileage
Audi,A4,2009,2.4,Diesel,Manual,263797,2,5,3924,Very High Mileage
Hyundai,Elantra,2006,2.8,Electric,Manual,110280,3,3,8494,Medium Mileage
Audi,A3,2009,1.2,Electric,Automatic,111448,5,1,9271,Medium Mileage
Mercedes,GLA,2013,1.9,Petrol,Manual,205005,2,2,5799,High Mileage
Mercedes,E-Class,2004,4.9,Petrol,Semi-Automatic,175273,3,5,6694,High Mileage
Mercedes,GLA,2022,3.8,Diesel,Manual,191466,3,2,10670,High Mileage
Ford,Focus,2008,1.8,Electric,Semi-Automatic,280713,3,1,4685,Very High Mileage
Honda,Civic,2015,2.6,Electric,Semi-Automatic,66777,5,1,11864,Low Mileage
Kia,Optima,2020,3.2,Electric,Manual,88070,3,5,13538,Medium Mileage
BMW,3 Series,2011,2.9,Electric,Semi-Automatic,281020,3,5,6679,Very High Mileage
Chevrolet,Impala,2017,1.8,Diesel,Semi-Automatic,22175,2,2,10556,Low Mileage
Volkswagen,Passat,2003,2.0,Electric,Manual,287728,3,3,3245,Very High Mileage
Hyundai,Sonata,2007,3.6,Electric,Automatic,102907,3,3,11241,Medium Mileage
Honda,Civic,2005,2.4,Petrol,Automatic,60316,2,5,8293,Low Mileage
Toyota,Camry,2008,1.3,Petrol,Automatic,188097,2,2,5538,High Mileage
Ford,Fiesta,2004,4.0,Diesel,Automatic,85348,3,3,9093,Medium Mileage
Ford,Focus,2015,4.8,Electric,Automatic,100603,4,2,14887,Medium Mileage
Mercedes,C-Class,2007,2.7,Hybrid,Manual,147310,5,2,6953,Medium Mileage
Mercedes,GLA,2011,4.0,Diesel,Manual,140263,4,5,8594,Medium Mileage
